Price,Date,Postcode,Property Type,New built indicator,Tenure Type
1095901,2024-10-31,OX,T,Y,F
981325,2024-02-12,S,S,N,F
187999,2024-05-30,DT,S,Y,F
878391,2024-04-01,SP,T,Y,F
766669,2024-06-26,SA,F,N,L
892542,2024-09-01,B,T,N,L
1356831,2024-10-26,NR,D,N,F
1840816,2024-07-15,KT,S,Y,L
779569,2024-03-06,AB,D,Y,L
1953305,2024-07-19,SO,F,N,L
993139,2024-03-04,CM,D,Y,L
1919649,2024-01-22,HA,F,N,F
1685092,2024-12-25,IV,S,Y,L
102931,2024-04-24,NE,D,N,F
873667,2024-04-09,ME,F,N,L
1194593,2024-05-29,FK,F,Y,F
1661255,2024-12-24,ST,D,N,F
1309667,2024-04-09,SN,S,Y,L
188268,2024-11-20,AL,T,N,L
906077,2024-11-28,RH,T,Y,F
1523493,2024-09-19,NP,F,N,F
1253111,2024-05-01,ML,S,N,F
1932610,2024-12-03,GY,S,Y,L
523498,2024-07-17,HS,D,Y,F
646008,2024-05-07,TW,D,Y,L
1064871,2024-11-25,LN,T,N,L
198270,2024-09-28,CM,D,N,L
1395144,2024-04-11,BD,S,Y,F
1869769,2024-12-31,NN,T,N,F
1706285,2024-07-26,AB,S,N,F
1781974,2024-06-22,OX,D,N,L
1823962,2024-08-18,DL,D,Y,F
630258,2024-04-15,HR,T,Y,L
297044,2024-05-08,SE,D,Y,F
1145389,2024-01-17,KY,S,Y,F
924265,2024-07-22,WS,S,Y,L
880259,2024-10-09,TW,D,N,L
1383215,2024-06-29,SL,S,N,F
1432675,2024-02-16,HD,D,N,F
156639,2024-08-19,SK,T,N,L
1479257,2024-12-24,FK,T,Y,L
1033799,2024-08-14,FY,T,Y,L
292849,2024-02-26,BH,D,N,L
419301,2024-06-12,WV,S,Y,L
1781564,2024-12-14,TW,D,N,F
326060,2024-08-15,BB,F,N,F
760833,2024-01-29,N,D,N,L
1830754,2024-10-04,CR,D,Y,L
134414,2024-06-23,DA,S,Y,F
1015161,2024-07-30,SL,T,Y,L
900940,2024-01-02,HG,T,Y,L
323573,2024-06-26,KA,F,Y,F
1058479,2024-12-06,HU,S,Y,F
1558892,2024-02-03,HG,D,N,F
1695584,2024-07-10,SP,T,Y,F
1431988,2024-06-25,BH,T,N,F
940788,2024-09-06,WA,T,N,L
1026250,2024-01-06,CB,S,N,L
1607254,2024-06-20,TQ,F,Y,L
620374,2024-12-31,HX,D,N,L
1853056,2024-08-05,E,T,Y,L
594323,2024-09-01,CV,S,Y,L
1580388,2024-06-22,RM,F,Y,L
1879916,2024-01-31,HA,S,Y,F
675995,2024-02-27,KT,F,N,L
1752200,2024-01-12,PO,T,N,L
103844,2024-05-18,SW,S,N,L
1753508,2024-11-06,LE,F,N,L
765141,2024-01-25,CB,F,Y,L
277084,2024-02-13,TD,D,N,F
1865995,2024-11-05,SK,D,Y,F
1556626,2024-03-21,SN,D,N,F
1989872,2024-07-16,BD,T,Y,L
1604835,2024-05-22,E,D,Y,L
1338259,2024-08-12,IG,D,N,F
582565,2024-12-10,DL,D,Y,L
1304009,2024-12-22,ME,F,Y,F
1024387,2024-03-12,WC,F,Y,F
1452586,2024-08-23,PO,F,N,F
1865399,2024-07-26,CR,T,N,L
1913538,2024-06-18,DT,F,N,F
1027888,2024-07-20,DY,F,Y,L
1426740,2024-06-02,EN,S,Y,F
1903726,2024-05-12,CH,D,Y,L
1431802,2024-01-11,CB,T,Y,L
803140,2024-04-24,RM,D,Y,L
1131023,2024-05-02,DA,T,Y,L
307943,2024-11-27,M,S,N,L
1868674,2024-12-25,TW,D,N,L
1838791,2024-05-10,CM,D,Y,L
1449967,2024-05-21,TW,F,Y,F
163844,2024-12-03,BT,D,N,L
1033767,2024-01-13,CH,S,N,L
164073,2024-12-11,AL,F,Y,L
1304198,2024-04-28,AB,F,Y,F
571861,2024-10-25,EC,S,N,L
139588,2024-04-02,CR,D,N,F
918347,2024-01-25,NP,S,Y,F
849113,2024-05-22,CM,F,Y,L
367216,2024-04-15,BL,T,N,F
150207,2024-12-15,WV,F,Y,L
550396,2024-04-24,CA,T,N,F
877219,2024-03-18,DL,D,Y,L
1738119,2024-07-28,OX,S,Y,F
602919,2024-06-28,TA,D,Y,F
480962,2024-05-29,EC,D,N,L
584989,2024-09-02,SN,F,Y,F
638473,2024-07-29,CO,S,N,L
715427,2024-02-12,HS,T,Y,L
1287641,2024-03-11,AL,T,N,F
1543562,2024-12-03,SG,F,Y,L
854995,2024-08-28,LE,F,Y,L
1519001,2024-04-04,HS,F,Y,L
1241902,2024-10-23,LU,D,N,F
1195488,2024-01-01,JE,S,Y,L
1601886,2024-09-28,EC,D,N,F
1364737,2024-09-19,EH,S,N,L
236451,2024-05-30,JE,F,Y,L
140247,2024-05-10,NR,F,Y,F
1435699,2024-01-01,G,T,Y,F
210933,2024-02-26,DA,T,N,L
1890383,2024-05-09,CR,D,Y,L
556187,2024-08-03,NP,S,N,F
1169463,2024-11-14,NR,F,Y,F
726643,2024-01-29,TN,S,Y,L
1509867,2024-01-07,OX,D,N,F
1826656,2024-11-27,KW,T,Y,F
1077742,2024-08-26,HX,D,Y,F
1564684,2024-09-14,PO,F,Y,F
1859418,2024-08-20,N,T,N,F
832128,2024-10-29,TR,D,Y,F
330738,2024-03-06,NE,S,Y,F
858641,2024-02-25,DD,S,N,L
934468,2024-11-27,TQ,D,N,L
1773447,2024-09-28,CB,T,Y,L
1519586,2024-03-18,SP,S,N,L
1290148,2024-06-05,CF,T,N,L
787424,2024-10-21,NW,T,Y,L
1030028,2024-04-08,BL,T,N,F
383038,2024-09-14,HP,D,Y,L
956937,2024-01-09,HP,S,Y,L
1884681,2024-11-28,HR,T,Y,L
1620074,2024-01-07,AB,D,N,L
239388,2024-06-18,LN,S,Y,F
1560637,2024-04-27,SW,T,N,L
1574440,2024-07-20,IV,S,Y,L
1681504,2024-02-04,WN,F,Y,L
1583782,2024-04-17,DG,D,N,L
1066458,2024-08-15,TN,S,Y,F
1980461,2024-12-31,KA,S,Y,F
1002787,2024-04-08,M,F,N,F
792443,2024-11-01,KT,D,N,L
1972708,2024-10-15,EN,D,Y,L
1892566,2024-01-28,NP,F,N,L
423251,2024-03-01,FK,S,N,L
508815,2024-12-03,UB,D,Y,F
204426,2024-06-15,EX,F,N,L
185528,2024-07-16,SA,D,Y,F
495740,2024-08-04,TF,S,N,L
999075,2024-09-08,PH,F,N,F
1168617,2024-10-23,BD,D,N,F
400243,2024-11-08,OL,D,N,L
136626,2024-06-13,IM,F,N,F
226896,2024-05-02,LU,T,Y,F
120976,2024-03-28,DG,D,N,L
535526,2024-12-19,LE,T,N,L
1595318,2024-05-01,WR,D,N,F
346467,2024-06-17,DN,S,N,F
359136,2024-12-24,NE,D,Y,F
1273412,2024-02-22,LN,D,N,F
199963,2024-11-10,IG,T,N,F
1762172,2024-11-09,LL,T,N,L
1937345,2024-09-27,PE,S,Y,L
103569,2024-12-04,BN,T,Y,F
816290,2024-11-04,CH,F,Y,F
1366400,2024-01-17,WN,S,N,L
1125101,2024-02-28,TR,D,N,L
1099201,2024-07-28,L,F,Y,L
123356,2024-05-27,ML,S,N,F
1020627,2024-01-04,LL,F,N,F
1081635,2024-03-21,OL,T,Y,F
1796839,2024-12-28,SW,S,N,L
1081556,2024-01-29,ME,D,Y,F
357787,2024-06-05,GL,F,N,F
1940351,2024-04-09,NE,D,Y,F
1226944,2024-05-28,IM,S,N,F
576383,2024-10-18,FK,F,Y,L
1392271,2024-07-14,TA,D,Y,F
1897429,2024-07-24,PE,T,N,F
323284,2024-11-27,BA,F,Y,F
811951,2024-06-20,HD,S,N,L
1673592,2024-08-04,WF,T,N,L
1026379,2024-08-25,HP,F,Y,L
1975518,2024-08-30,ZE,D,Y,L
1100417,2024-06-02,G,D,Y,L
645974,2024-03-11,BH,D,N,L
771918,2024-01-19,PE,F,Y,F
407380,2024-08-04,WS,T,Y,F
1941084,2024-10-26,DD,D,N,L
1762382,2024-03-24,CF,F,N,F
613284,2024-12-06,G,T,N,L
962019,2024-09-02,GY,T,Y,L
242849,2024-03-27,NN,F,N,L
1378091,2024-04-22,BR,F,N,L
886861,2024-01-30,BH,T,Y,L
926149,2024-05-07,ME,D,N,L
1260021,2024-09-28,SO,S,Y,F
1200135,2024-12-22,KY,D,Y,F
546878,2024-04-10,SA,D,N,L
581368,2024-03-21,WA,F,N,L
468065,2024-03-10,DG,D,Y,L
857643,2024-03-06,BD,D,Y,L
1477050,2024-01-02,DG,D,N,F
748783,2024-06-25,HD,S,N,F
370945,2024-06-08,ST,T,Y,F
131921,2024-04-12,LD,S,N,F
1969105,2024-12-25,NR,S,Y,L
904656,2024-10-15,TD,T,Y,F
1160415,2024-10-17,HP,D,N,L
489252,2024-11-15,HR,S,Y,F
1874939,2024-11-21,CO,S,N,F
361436,2024-03-30,WF,D,Y,F
1244791,2024-11-04,BH,F,N,L
723951,2024-05-04,SS,F,N,L
161760,2024-10-12,RG,T,Y,L
1469018,2024-03-26,BT,D,N,L
1740646,2024-09-18,BL,T,Y,L
852700,2024-12-25,CT,F,N,F
272837,2024-08-18,PL,T,N,L
785076,2024-10-23,IV,F,N,F
289185,2024-06-20,HX,T,N,F
1740933,2024-03-28,AL,T,N,L
933490,2024-09-10,E,D,Y,F
1084576,2024-06-22,KY,T,N,F
534630,2024-07-10,SS,F,Y,L
1992887,2024-04-22,OL,T,N,F
1368742,2024-05-20,CB,D,Y,F
1943352,2024-03-20,SE,F,Y,L
1884056,2024-08-07,CA,S,Y,L
1367271,2024-04-21,PA,S,Y,L
306546,2024-09-06,IG,D,Y,F
146687,2024-04-09,SE,S,N,L
1332025,2024-09-12,LA,T,N,L
1372406,2024-06-17,RG,T,Y,L
1604152,2024-06-18,LE,T,Y,F
1197117,2024-11-01,SL,D,N,L
966775,2024-05-18,BT,T,N,L
961197,2024-12-06,SW,T,N,F
1216470,2024-02-25,IG,S,N,L
295012,2024-09-26,S,F,Y,F
1606483,2024-10-04,GU,S,N,F
652995,2024-01-22,FK,T,Y,L
1939652,2024-04-15,EN,S,Y,F
517982,2024-02-28,JE,F,Y,L
312459,2024-05-12,BN,S,N,F
1907866,2024-06-02,ZE,S,N,F
935408,2024-08-25,KY,D,N,L
1493282,2024-02-11,OX,F,N,F
236312,2024-02-16,HG,T,N,L
595539,2024-09-02,HP,F,N,F
1885274,2024-01-20,RM,F,Y,F
1507456,2024-07-05,KT,F,N,L
1335947,2024-05-05,BR,D,Y,L
1538791,2024-07-27,FY,S,Y,F
1186296,2024-01-30,TS,D,N,F
1244920,2024-05-03,HD,T,N,F
1472380,2024-03-31,LE,F,N,F
655314,2024-11-25,OX,T,N,L
1526503,2024-09-04,LE,T,N,L
770638,2024-03-29,DY,D,N,F
1325304,2024-03-22,SR,F,N,L
843278,2024-08-22,WN,D,Y,L
541024,2024-03-15,JE,S,N,L
329202,2024-12-19,BD,F,N,L
324814,2024-09-15,G,T,Y,F
1746490,2024-04-13,WA,T,N,F
948721,2024-02-18,W,S,N,F
758955,2024-10-13,CW,F,Y,F
1877414,2024-01-06,NP,S,Y,L
1322880,2024-09-22,CH,T,N,L
1539127,2024-02-17,BD,T,Y,F
1180924,2024-07-16,EX,S,Y,F
1088731,2024-08-08,SL,S,N,L
558014,2024-03-06,EN,D,Y,F
1953267,2024-09-22,LL,D,Y,F
1195242,2024-08-20,CM,D,Y,F
1347399,2024-10-18,LA,F,N,L
1953758,2024-02-23,CW,S,N,F
1570733,2024-07-31,PE,F,Y,L
1789062,2024-08-07,BN,F,N,L
783677,2024-09-13,DN,T,Y,F
837341,2024-12-30,EN,S,Y,L
1138672,2024-08-13,UB,D,Y,F
1035106,2024-07-23,DH,T,Y,F
1465480,2024-12-10,OX,T,Y,F
198963,2024-10-12,BB,T,Y,F
954348,2024-10-23,W,S,N,F
1207063,2024-10-08,LL,S,Y,F
1828944,2024-10-26,LA,S,Y,L
1455427,2024-10-24,WF,T,N,L
663921,2024-01-31,UB,T,Y,F
1838353,2024-07-04,MK,F,Y,L
544488,2024-10-28,BN,S,Y,F
938218,2024-08-05,SE,D,Y,L
371554,2024-11-30,CT,F,Y,F
1035513,2024-11-10,HA,F,Y,F
658502,2024-07-09,KT,S,Y,L
1566541,2024-07-04,SM,S,N,L
374432,2024-01-15,BR,S,N,L
1646584,2024-08-18,CW,D,Y,L
1120068,2024-12-24,AB,T,Y,L
168811,2024-10-22,LD,T,N,L
1139860,2024-05-09,PO,S,N,F
1536782,2024-09-12,RH,T,N,F
1864474,2024-01-02,DE,F,N,F
1486788,2024-03-11,CB,S,Y,F
495021,2024-04-11,BH,S,N,F
791969,2024-10-03,WV,F,N,L
402466,2024-02-05,SM,T,Y,L
124873,2024-06-07,WR,F,N,F
156017,2024-06-02,HR,F,N,L
1807413,2024-11-17,WC,D,N,F
677106,2024-06-08,WR,T,Y,L
291796,2024-08-18,IP,D,Y,F
626902,2024-11-17,WD,F,Y,F
1950786,2024-10-20,PR,F,Y,F
456375,2024-04-19,PO,F,N,F
1286072,2024-02-28,WD,F,Y,F
1906244,2024-07-18,SL,T,N,F
406773,2024-05-18,DN,F,N,L
1047401,2024-08-18,NE,D,Y,L
1346861,2024-09-29,BT,F,Y,F
585549,2024-10-31,S,D,Y,L
1966210,2024-11-14,HA,S,N,L
584461,2024-10-22,BA,D,Y,L
334981,2024-07-11,KW,S,N,F
1181064,2024-05-02,M,D,Y,L
859487,2024-10-27,DT,F,N,F
143393,2024-05-30,KT,F,N,F
982712,2024-11-27,TN,D,Y,L
1601168,2024-05-24,GY,S,Y,L
918693,2024-08-05,TA,S,N,L
1815135,2024-07-31,KT,F,N,F
166746,2024-04-29,WS,T,Y,L
803542,2024-12-03,AB,D,N,F
667487,2024-01-16,KW,T,N,F
1240149,2024-01-24,PE,D,N,F
293907,2024-09-27,SP,S,N,F
344571,2024-09-16,BL,T,Y,F
1603448,2024-06-08,IP,D,N,L
793821,2024-01-31,CB,T,N,L
1828576,2024-09-30,SS,S,N,L
1103712,2024-11-08,RG,F,Y,L
1788783,2024-11-04,PE,D,N,L
1464554,2024-07-17,DG,T,Y,L
161479,2024-07-05,CB,S,Y,F
848726,2024-04-27,CO,F,N,F
1213467,2024-07-01,LN,T,Y,L
1455494,2024-12-28,IP,F,N,L
830654,2024-08-08,E,F,Y,L
1232837,2024-12-16,SY,D,Y,L
523564,2024-05-20,TA,T,N,F
222223,2024-02-03,UB,S,N,F
656042,2024-01-26,L,T,N,L
1262200,2024-01-31,CM,D,N,L
1075000,2024-07-21,IP,S,Y,L
662756,2024-06-15,OX,D,N,L
521339,2024-05-25,HP,T,N,F
608212,2024-07-28,CV,F,N,L
1355643,2024-11-02,BD,S,N,L
1941195,2024-10-16,GL,F,N,L
1187969,2024-06-15,ME,F,N,F
608648,2024-10-28,PH,S,N,F
1142566,2024-05-16,UB,T,N,L
1924036,2024-12-28,SL,T,N,F
1890920,2024-05-14,SK,F,N,F
1593826,2024-10-30,SL,D,Y,F
158360,2024-10-20,HS,S,N,F
150660,2024-01-17,NE,F,Y,F
1765448,2024-10-05,TD,S,Y,F
1567339,2024-12-16,G,F,Y,L
1736983,2024-12-28,TN,F,Y,F
738008,2024-10-18,HP,S,Y,L
924549,2024-03-20,AB,T,N,F
811840,2024-06-25,HD,T,Y,L
1564928,2024-04-29,WC,S,Y,L
1912759,2024-02-20,AL,T,N,L
1842957,2024-08-19,HA,F,Y,F
795206,2024-01-05,IG,D,N,L
527013,2024-01-29,TF,S,Y,L
1893559,2024-06-20,ST,D,N,L
123253,2024-01-30,M,S,N,L
1721168,2024-02-26,CF,D,N,F
1067460,2024-07-16,TN,F,N,F
1798586,2024-10-06,NP,T,Y,L
1482977,2024-10-09,NP,F,N,F
604964,2024-05-30,IG,S,Y,F
1095119,2024-03-01,RM,S,N,F
481413,2024-09-09,BR,T,Y,L
133544,2024-02-03,TR,D,N,F
970540,2024-07-28,BA,D,N,L
1976372,2024-07-09,LS,S,N,F
969037,2024-10-27,KT,F,Y,L
365718,2024-01-26,BA,T,N,L
1961438,2024-01-08,ME,F,N,F
1415471,2024-07-08,WD,D,Y,F
193943,2024-10-13,RM,S,N,L
593602,2024-12-23,PH,D,Y,L
1413643,2024-09-24,KY,D,Y,F
688323,2024-12-03,BN,S,N,F
275649,2024-02-03,YO,S,N,L
133154,2024-10-23,TA,D,Y,F
162713,2024-06-08,SW,D,Y,L
1185065,2024-06-02,SR,T,N,L
1401642,2024-08-26,WF,D,N,F
1478496,2024-01-15,TN,D,N,L
480093,2024-03-16,HS,T,N,F
1284185,2024-08-05,NW,D,Y,L
1929486,2024-04-30,PR,T,N,F
199797,2024-04-17,LE,D,N,L
696116,2024-08-03,PR,F,N,L
1385650,2024-01-25,SA,D,Y,L
1887976,2024-05-03,RM,F,Y,L
1294928,2024-04-06,EC,F,Y,L
209802,2024-11-04,SO,T,N,F
1193721,2024-10-09,TQ,D,Y,F
749872,2024-08-04,UB,S,Y,L
1830399,2024-03-16,BL,S,N,F
1414011,2024-08-24,TA,D,N,L
765780,2024-04-25,EH,S,N,L
419878,2024-12-05,LD,S,Y,F
970256,2024-04-24,JE,F,Y,L
1744918,2024-10-01,M,D,N,L
1104333,2024-05-21,DD,F,N,F
1633692,2024-11-07,CH,F,N,F
650872,2024-02-02,JE,F,N,L
1812984,2024-04-13,EN,S,Y,F
491711,2024-11-01,LA,S,Y,F
279484,2024-12-12,RM,S,Y,F
620156,2024-11-21,SG,F,Y,F
225482,2024-12-09,G,F,N,L
706529,2024-11-24,OX,D,Y,F
516010,2024-03-19,SM,S,Y,F
1672169,2024-09-24,DN,F,N,F
1584604,2024-04-30,EH,F,N,L
208811,2024-09-07,SE,F,Y,F
789655,2024-09-03,BB,F,N,F
167438,2024-07-02,LL,D,N,L
249397,2024-05-08,ZE,T,N,F
420797,2024-03-18,PR,F,Y,F
754556,2024-12-22,KA,S,Y,L
973695,2024-05-22,DH,T,N,F
1688489,2024-01-27,KT,F,Y,L
1887889,2024-08-12,CV,T,N,F
125195,2024-02-20,TS,F,Y,L
1260425,2024-01-09,SY,F,Y,L
1039583,2024-06-04,CM,T,Y,L
707074,2024-11-12,NR,F,N,L
1413587,2024-01-02,PE,F,Y,L
526132,2024-11-29,SE,S,N,F
967617,2024-05-25,HX,T,N,L
1938474,2024-10-14,WR,F,Y,F
1629326,2024-12-15,YO,F,N,F
1908964,2024-10-27,DN,D,N,L
314971,2024-08-18,GL,T,N,F
1458073,2024-10-08,HX,D,Y,L
1575894,2024-04-02,HX,F,N,L
1996048,2024-04-22,E,F,Y,L
1245205,2024-12-21,PO,D,Y,L
769426,2024-12-23,KW,T,Y,L
195668,2024-06-30,WS,T,N,L
129169,2024-10-14,DG,T,N,F
1080856,2024-10-19,LN,S,Y,L
502773,2024-07-21,NE,D,Y,L
755446,2024-06-10,SO,F,N,L
1181356,2024-12-24,EN,T,Y,L
445769,2024-07-13,LE,D,Y,F
1820121,2024-04-10,E,D,Y,F
1472264,2024-04-23,HG,F,N,F
697396,2024-02-07,HX,D,N,L
963306,2024-09-08,HP,S,N,F
613244,2024-04-30,WC,D,Y,F
417182,2024-07-19,BA,S,N,F
1358451,2024-12-05,SO,S,Y,L
705772,2024-01-04,IG,T,N,F
730711,2024-06-13,SP,F,Y,L
1337291,2024-01-27,LU,T,N,F
1655611,2024-02-04,YO,D,Y,F
468566,2024-11-03,KW,F,N,F
1073584,2024-03-22,LU,T,N,L
1007083,2024-05-21,DH,F,Y,F
887467,2024-03-25,NW,D,Y,L
661192,2024-09-11,NN,S,Y,L
753260,2024-08-28,EX,S,Y,F
1643035,2024-06-26,WV,T,N,L
1394841,2024-12-18,B,T,Y,L
1964426,2024-06-06,FY,F,Y,L
448502,2024-08-25,WS,S,Y,L
208029,2024-12-13,CR,S,Y,L
449414,2024-11-07,LL,S,Y,L
321184,2024-01-09,G,D,Y,L
1711007,2024-12-21,DA,D,Y,F
940503,2024-09-14,DT,S,Y,L
926917,2024-10-12,RM,D,Y,L
912843,2024-04-05,RG,F,N,F
229679,2024-02-14,SE,T,N,L
1711276,2024-08-26,BT,D,N,F
1846267,2024-10-13,TN,S,N,F
712031,2024-05-29,SG,S,N,L
490463,2024-12-29,TQ,F,Y,L
1779733,2024-02-15,PA,T,Y,F
1356172,2024-03-02,WC,F,Y,L
1770578,2024-09-29,EX,F,Y,F
761598,2024-08-16,RM,F,Y,F
663474,2024-11-16,LE,S,N,L
915515,2024-07-05,CV,D,Y,F
1295963,2024-12-13,W,T,N,F
331819,2024-10-06,BS,F,Y,L
1258128,2024-04-16,HS,S,Y,L
321728,2024-02-20,YO,F,Y,F
545541,2024-05-23,TA,F,Y,L
1357178,2024-03-26,HA,D,N,F
1349388,2024-10-25,EH,S,N,L
494770,2024-05-24,NE,D,Y,F
1259048,2024-04-26,LA,S,N,L
1684270,2024-04-25,AB,S,Y,L
1221416,2024-12-17,CH,D,Y,F
335270,2024-05-20,CW,D,Y,F
117316,2024-07-29,ML,D,Y,F
732909,2024-01-22,WN,T,N,F
1290429,2024-04-14,SL,F,Y,F
1946412,2024-09-16,LL,T,Y,L
1583481,2024-01-28,CV,T,N,L
368015,2024-08-31,ML,T,Y,F
450464,2024-02-10,ZE,S,Y,F
1567195,2024-03-14,KT,D,Y,L
683474,2024-07-08,DL,S,N,L
1113728,2024-08-29,KW,D,N,F
1757661,2024-09-02,GU,S,N,F
1924033,2024-10-18,NR,S,N,F
484836,2024-07-05,TW,D,Y,F
1015343,2024-12-09,EC,T,Y,L
849981,2024-12-20,WR,F,Y,F
760788,2024-10-01,LN,F,N,L
1792957,2024-01-11,EX,S,N,L
378872,2024-02-13,RH,F,N,F
1224908,2024-11-23,B,D,Y,F
1510329,2024-12-13,PL,D,Y,L
1783511,2024-07-10,SY,S,N,F
1957142,2024-02-22,SO,S,Y,F
311903,2024-12-17,SA,T,Y,F
178887,2024-11-19,HR,F,Y,F
1022898,2024-07-17,WC,D,Y,F
955134,2024-04-11,DE,S,N,L
1470984,2024-01-18,EX,S,Y,F
629639,2024-06-17,HX,D,Y,F
462641,2024-10-12,SL,T,Y,L
1684184,2024-11-07,BT,T,Y,F
891923,2024-07-28,KA,S,Y,F
1191377,2024-01-29,TD,F,Y,F
618835,2024-01-03,WF,F,N,F
627942,2024-04-16,WS,D,Y,L
1172813,2024-09-26,SA,F,Y,F
290204,2024-12-20,S,F,N,F
314258,2024-10-18,ZE,F,Y,L
1570009,2024-01-24,EN,T,Y,F
1786598,2024-11-06,RG,T,Y,L
912703,2024-01-07,LN,S,N,L
252899,2024-10-11,WS,S,Y,L
360174,2024-08-03,LS,S,N,L
827549,2024-09-25,ML,D,N,F
1015548,2024-01-26,OL,T,Y,F
1590317,2024-05-01,PR,S,Y,L
1081807,2024-11-09,ME,T,Y,F
1359382,2024-04-20,WD,S,N,F
538216,2024-05-10,CW,D,N,L
1482170,2024-07-27,NR,T,N,L
1532905,2024-09-23,HR,D,Y,F
297495,2024-10-08,LL,T,N,L
394740,2024-08-26,BR,S,N,L
1934887,2024-04-05,SL,F,Y,F
967219,2024-01-27,KA,F,N,F
380576,2024-09-11,EH,D,Y,F
282329,2024-05-12,IG,T,Y,L
1464519,2024-05-13,RM,F,N,F
1803653,2024-01-21,DL,S,N,F
146725,2024-09-13,DT,F,Y,L
628738,2024-05-14,PH,D,N,F
1053680,2024-01-04,GU,F,Y,F
801163,2024-12-05,TW,D,Y,F
